word1,word2,freq
redmi,note,380
music,music,275
fast,charging,76
real,beast,72
refresh,rate,69
watt,fast,67
gorilla,glass,63
dual,speakers,62
note,series,60
milliamp,hour,56
ready,set,54
mid,range,53
quad,camera,53
flagship,level,52
hour,battery,52
corning,gorilla,50
ultra,wide,49
main,camera,45
hertz,refresh,42
camera,setup,40
sampling,rate,40
music,applause,39
prime,core,38
applause,music,37
qualcomm,snapdragon,36
touch,sampling,34
dot,display,33
smart,clock,30
hey,google,28
security,camera,28
wide,angle,26
smartphone,redmi,25
ufs,storage,25
