word1,word2,freq
apple,watch,3712
watch,series,2391
apple,music,1760
apple,shop,849
green,apple,673
music,apple,671
dark,romance,512
apple,pay,482
apple,cider,465
romance,paranormal,394
paranormal,collection,393
cider,vinegar,343
cash,app,294
true,smart,286
wing,true,286
possessed,amazon,283
cream,cheese,270
feature,share,260
apple,valley,258
medium,social,256
xs,max,238
apple,app,237
ice,cream,228
mobile,app,219
limited,time,218
milk,tea,208
collide,humans,206
demons,alike,206
destinies,collide,206
humans,angels,206
bind,desire,203
common,bind,203
passions,pulsate,203
pulsate,destinies,203
wireless,charging,193
official,video,191
salted,caramel,185
international,bestselling,183
fruit,tea,182
send,phone,178
app,apple,177
delivery,fee,175
apple,android,164
amazon,music,152
price,jumps,150
fuji,apple,149
red,apple,147
written,produced,147
red,velvet,145
ifs,code,144
vampires,werewolves,144
award,winning,142
food,mall,142
star,apple,142
apple,crumble,138
original,apple,138
jumps,monday,137
android,users,135
accounts,login,133
laptop,acer,132
demonic,witches,130
experience,exquisite,130
gargoyle,ordinary,130
ghostly,spirits,130
green,tea,130
hellfire,phoenix,130
ordinary,humans,130
seraphs,demonic,130
sultry,seraphs,130
vegetable,dressing,130
vengeful,gargoyle,130
werewolves,ghostly,130
app,download,129
brown,sugar,122
apple,apple,121
music,video,121
apple,juice,119
android,auto,118
authors,experience,117
romance,collection,117
time,paranormal,117
winning,authors,117
crispy,chicken,116
pi,network,115
apple,users,113
skin,magical,113
stay,safe,113
dark,choco,112
hoi,ghi,111
watch,band,111
apple,tree,110
apple,pencil,109
passion,fruit,109
qr,code,109
lightning,cable,108
apple,fuji,107
friends,share,107
love,romance,107
amazing,accessories,106
bee,boutique,106
buzz,freebies,106
carry,sizes,106
floral,bee,106
type,register,106
unbeatable,prices,106
apple,sauce,104
candy,apple,103
ready,stock,103
seduction,travel,103
battery,health,102
music,amazon,102
office,disposal,102
play,station,102
chicken,chop,101
apple,cinnamon,100
food,options,100
max,xs,100
pork,burger,98
rex,set,98
season,restaurant,98
android,app,97
apple,rose,97
cheese,series,96
sunday,lunch,96
vegetable,oil,96
epic,games,95
sweet,potato,95
chiller,cake,94
chiller,coke,94
desire,experience,94
farm,workers,94
floor,mountain,94
split,type,94
type,inverter,94
acer,aspire,93
apple,fox,92
apple,ios,92
dark,chocolate,92
yorkshire,pudding,92
cafe,equine,90
eat,apple,90
fast,charger,90
lily,gold,90
naira,apple,90
piccolo,cafe,90
size,apple,90
xs,xr,90
yeast,extract,90
amazon,apple,89
anchor,apple,88
apple,cake,88
apple,lim,88
chang,anchor,88
cystal,chang,88
fox,blanc,88
royal,stout,88
sandy,skol,88
skol,royal,88
tiger,cystal,88
fruit,juice,86
natural,remedies,85
delivery,charge,84
fresh,juices,84
window,type,84
apple,extract,83
android,apple,82
apple,green,82
charging,station,82
lucky,box,82
acerola,cherry,81
charger,cable,81
cherry,powder,81
live,selling,81
pomegranate,fruit,81
santa,rosa,81
torula,yeast,81
mandarin,class,80
san,jose,80
phone,cost,79
pork,chop,79
amazon,prime,78
cable,apple,78
koil,street,78
apple,certified,77
apple,fruit,77
extract,vitamin,77
sunday,service,77
wireless,charger,77
extract,pomegranate,76
extract,torula,76
juice,acerola,76
padang,golf,76
powder,apple,76
disposal,laptop,75
books,apple,74
daily,fresh,74
true,tone,74
type,floor,74
apple,daily,73
bonus,referral,73
braided,nylon,73
certified,braided,73
live,sunday,73
nylon,fast,73
peanut,butter,73
smart,watch,73
video,listen,73
