word1,word2,freq
public,health,822
public,library,769
public,company,657
auto,auction,642
company,limited,631
account,holder,625
branch,address,624
swift,code,624
walking,distance,539
upper,bed,525
public,school,445
live,stream,437
public,speaking,427
live,chat,405
public,gaming,399
live,game,396
support,stream,385
gaming,community,383
minister,samuel,382
government,organization,378
public,service,376
pen,academy,372
buddha,international,368
cricket,stadium,368
international,cricket,368
stadium,nepal,368
stream,period,368
community,improve,367
gaming,rules,367
gorkhali,heart,367
kpc,gaming,367
nepali,gaming,367
supporting,love,367
silent,strike,334
double,deck,323
saturday,march,293
share,live,293
lady,tutor,290
female,tutor,276
beauty,concept,273
eva,beauty,273
prize,rm,272
monday,march,271
national,police,268
president,george,267
liberia,national,266
tuesday,march,258
rep,francis,256
inspiration,masters,255
transport,minister,252
entertainment,purpose,246
nonprofit,organization,244
camel,power,239
channel,uc,238
game,play,238
supporter,badge,238
animal,shelter,232
duty,mobile,231
public,holidays,231
food,lover,227
wednesday,march,226
bed,space,222
chem,math,220
canadian,nail,219
finale,gala,219
nail,championship,219
monday,wednesday,218
public,auto,216
public,speaker,216
skill,arena,215
human,rights,213
county,public,212
entrada,gratis,212
entrance,entrada,212
wednesday,lunes,212
auction,public,210
bed,vacant,210
customer,service,210
dry,market,210
land,lady,210
minute,walking,210
month,upper,210
police,department,210
public,market,206
share,event,203
friday,march,199
accounts,login,198
allowed,code,198
radio,station,193
mobile,live,192
lucky,draw,191
gaming,streamer,188
direct,message,186
fakir,miskin,186
mental,health,185
discord,server,181
thursday,march,180
disclaimer,warning,179
donation,supporter,179
joyful,moment,179
news,company,179
pacific,islands,179
sharer,badge,179
strong,dance,179
supporter,social,179
stay,safe,177
public,fishery,174
social,distancing,174
public,holiday,173
subscribe,channel,173
auckland,council,172
fb,official,172
share,banner,172
flood,level,171
real,estate,169
law,enforcement,167
sunday,march,166
health,department,165
navajo,nation,165
public,transport,164
county,health,161
executive,director,161
south,african,161
tuition,code,160
city,council,159
unity,party,158
mobile,legends,155
police,station,155
public,affairs,155
bed,mattress,151
trendy,bed,151
live,finale,147
public,masses,146
video,scheduled,145
medical,center,144
public,schools,143
trash,talking,141
business,inquiry,139
processor,intel,139
profanity,treat,139
racism,profanity,139
abusive,trolls,138
board,gigabyte,138
board,mouse,138
chat,clean,138
gaming,headphones,138
graphic,card,138
key,board,138
live,streamed,138
mother,board,138
pc,specs,138
professional,gaming,138
respect,moderators,138
tubers,streamers,138
fb,live,137
mobile,season,136
grand,prize,135
copyright,laws,132
developing,story,132
flood,evacuation,132
sanctions,imposed,131
appoint,oliver,130
appointment,predicated,130
birthday,celebrants,130
chinese,delegation,130
club,live,130
complete,disrespect,130
concerned,liberians,130
convicted,criminal,130
costa,files,130
county,tour,130
criminal,brownie,130
disclaimer,statements,130
feasibility,studies,130
level,chinese,130
liberians,network,130
murderer,allegedly,130
music,played,130
nationwide,tour,130
observed,entertainment,130
overhead,bridges,130
played,copyright,130
presidential,county,130
professed,murderer,130
statements,remarks,130
story,overhead,130
straightly,observed,130
videos,played,130
public,safety,129
road,closures,128
worth,rm,128
membership,meeting,127
