word1,word2,freq
star,sender,1342
guys,ultimate,1309
ultimate,knockout,1309
accounts,login,553
redes,sociales,538
eating,healthy,474
vapor,village,441
twitter,twitter,387
hola,gracias,362
pases,bonito,362
customer,service,360
translate,tweet,353
follow,twitter,322
mobile,twitter,273
gaming,live,242
quote,tweets,242
admin,march,239
cerebral,palsy,221
peter,weber,217
education,uncategorized,184
friends,talk,183
twitter,account,177
live,stream,175
ministries,international,173
twitter,tweet,170
alerta,especial,165
covenant,day,165
settlement,service,164
login,twitter,163
altogether,chief,158
channel,follow,158
characteristically,comprises,158
chief,food,158
comprises,nutrient,158
counting,lean,158
dense,nourishments,158
diet,characteristically,158
healthful,flaps,158
healthy,diet,158
healthy,education,158
lean,proteins,158
nutrient,dense,158
ounces,healthful,158
pc,specs,157
saints,parish,157
share,share,143
friend,request,142
chocolate,pudding,140
gaming,streams,139
bali,express,136
prime,minister,134
button,remove,132
feature,share,131
couple,watch,127
nigerian,woman,127
pudding,recipe,120
speedy,recovery,120
duty,mobile,119
type,notify,119
live,streams,118
online,business,117
video,teenager,117
wallet,address,116
followers,likes,115
telegram,channel,115
current,rank,113
direct,donations,113
factory,challenge,112
medium,social,112
friend,requests,111
disabled,person,110
follow,telegram,110
person,diagnose,110
physically,disabled,110
twitter,handle,104
auto,followers,103
follow,button,102
narendra,modi,102
bread,chocolate,100
fb,twitter,100
twitter,uji,98
liz,gro,96
phone,pay,96
rank,silver,96
remove,report,95
punjabi,live,94
koran,bali,92
shared,equally,92
unblock,friend,90
lifestyle,factors,88
positive,lifestyle,88
reactors,followers,88
forgotten,password,87
profile,guard,87
breaking,news,86
airdrops,bot,85
headhunter,max,84
report,button,84
star,senders,84
remove,add,83
digital,marketing,82
kamala,harris,81
chocolate,cake,80
message,button,80
remove,message,80
learning,campus,79
parish,live,79
tangent,learning,79
mobile,games,78
woman,celebrates,78
change,birthday,76
pudding,cake,74
boss,tower,73
glob,info,73
party,nigerian,73
human,rights,72
applicable,laws,71
holy,rosary,71
smart,chain,71
boo,shop,70
creative,commons,70
female,orgasm,70
kid,penetrate,70
mobile,live,70
mother,bigg,70
orgasm,easier,70
outstanding,style,70
plan,boo,70
step,mother,70
unauthorised,reproduction,70
airdrop,reward,69
airdrop,sfm,69
ram,corsair,69
share,follow,69
